pitch,weather,score_home,score_away,corners_home,corners_away,on_target_home,on_target_away,off_target_home,off_target_away,dang_attacks_home,dang_attacks_away,attacks_home,attacks_away,possession_home,possession_away,target
GOOD,GOOD,1,0,0,1,1,4,5,7,45,66,120,146,47%,53%,True
GOOD,GOOD,1,0,0,6,1,1,4,4,26,19,69,58,57%,43%,True
GOOD,GOOD,1,0,3,0,7,6,11,8,40,53,112,116,54%,46%,False
GOOD,GOOD,1,0,5,3,3,2,6,4,23,24,56,51,54%,46%,False
GOOD,GOOD,0,4,0,0,0,9,0,3,12,21,25,35,46%,54%,True
GOOD,GOOD,0,0,0,0,2,4,9,4,95,57,89,69,63%,37%,True
GOOD,GOOD,0,0,0,0,2,1,6,2,40,31,39,38,55%,45%,False
GOOD,GOOD,2,0,0,0,6,7,13,11,39,62,102,162,38%,62%,True
GOOD,GOOD,3,0,0,0,3,4,3,3,17,22,63,82,39%,61%,True
GOOD,GOOD,4,0,0,0,17,4,10,3,108,35,111,90,58%,42%,False
GOOD,GOOD,9,2,0,0,7,0,5,1,50,22,54,43,53%,47%,False
GOOD,GOOD,2,2,2,3,6,6,4,5,32,39,103,104,51%,49%,True
GOOD,GOOD,2,4,4,2,5,3,0,2,14,18,50,54,50%,50%,False
GOOD,GOOD,1,1,0,0,6,3,15,4,79,26,166,76,64%,36%,False
GOOD,GOOD,1,2,0,1,3,2,7,1,34,6,79,30,66%,34%,False
GOOD,GOOD,0,3,0,0,1,5,7,5,86,54,107,79,1,4,False
GOOD,GOOD,1,1,0,0,8,3,7,4,93,87,140,143,51%,49%,True
GOOD,GOOD,5,1,0,0,3,2,2,1,50,44,74,77,49%,51%,False
GOOD,GOOD,0,0,4,3,3,5,9,8,35,30,111,101,52%,48%,False
GOOD,GOOD,0,1,1,1,3,1,6,4,19,16,59,44,54%,46%,True
GOOD,GOOD,0,1,0,3,1,7,6,4,56,55,76,87,54%,46%,False
GOOD,GOOD,0,2,0,1,1,4,3,3,15,34,33,42,47%,53%,False
GOOD,GOOD,2,0,2,0,7,4,6,3,56,51,74,71,59%,41%,True
GOOD,GOOD,4,0,1,4,3,2,2,2,29,24,34,41,60%,40%,True
GOOD,GOOD,3,0,1,0,6,6,8,12,46,39,128,90,55%,45%,False
GOOD,GOOD,3,1,3,2,6,0,1,4,23,13,76,27,61%,39%,False
GOOD,GOOD,0,1,3,0,6,3,6,3,69,50,117,105,54%,46%,True
GOOD,GOOD,0,1,3,0,3,3,2,2,27,28,44,57,50%,50%,True
GOOD,GOOD,0,0,0,0,1,4,7,3,56,84,120,118,1,2,False
GOOD,GOOD,0,1,0,0,5,4,5,13,48,88,97,120,39%,61%,False
GOOD,GOOD,1,2,1,0,2,1,3,5,21,42,48,59,38%,62%,False
GOOD,GOOD,2,0,0,3,3,0,2,10,31,65,109,158,47%,53%,False
GOOD,GOOD,2,0,0,2,2,0,1,4,19,18,78,59,63%,37%,False
GOOD,GOOD,1,0,0,0,3,2,6,3,69,55,106,98,45%,55%,True
GOOD,GOOD,2,0,0,0,2,2,4,2,31,30,48,53,45%,55%,True
GOOD,GOOD,0,0,0,0,9,2,13,3,99,44,142,82,60%,40%,False
GOOD,GOOD,1,0,0,0,2,0,7,1,51,16,74,33,67%,33%,True
GOOD,GOOD,1,0,0,0,5,4,12,13,20,20,61,64,50%,50%,True
GOOD,GOOD,2,0,0,0,2,2,6,2,10,9,29,32,58%,42%,True
GOOD,GOOD,0,0,0,0,7,2,9,3,51,23,109,66,64%,36%,False
GOOD,GOOD,0,0,0,0,4,2,5,2,23,14,59,36,62%,38%,False
GOOD,GOOD,0,0,7,0,5,3,7,3,54,45,95,94,47%,53%,False
GOOD,GOOD,0,0,0,0,3,0,6,1,33,16,47,46,50%,50%,True
GOOD,GOOD,1,0,0,0,9,3,8,7,110,56,180,114,65%,35%,True
GOOD,GOOD,1,0,0,0,6,1,3,2,61,14,97,43,73%,27%,False
GOOD,GOOD,0,0,2,0,4,1,7,5,33,41,71,68,54%,46%,True
GOOD,GOOD,1,0,2,0,2,0,4,3,12,23,30,36,50%,50%,False
GOOD,GOOD,0,0,4,0,2,2,8,4,51,28,83,67,56%,44%,True
GOOD,GOOD,0,0,0,0,2,2,2,2,22,12,40,33,52%,48%,True
GOOD,GOOD,0,2,2,0,6,7,2,8,41,42,88,86,56%,44%,True
GOOD,GOOD,2,3,5,3,0,4,0,3,17,26,42,49,50%,50%,True
GOOD,GOOD,0,0,0,0,4,1,5,3,40,31,86,79,48%,52%,False
GOOD,GOOD,0,0,0,0,2,1,2,2,16,12,35,35,43%,57%,False
GOOD,GOOD,2,1,0,0,7,5,3,14,44,67,69,93,41%,59%,False
GOOD,GOOD,2,2,0,0,3,4,2,5,24,39,39,53,38%,62%,True
GOOD,GOOD,2,0,0,0,6,2,8,5,27,25,68,73,46%,54%,False
GOOD,GOOD,3,0,0,0,4,2,4,4,9,19,34,42,45%,55%,False
GOOD,GOOD,0,0,0,2,6,5,5,1,46,38,76,67,57%,43%,True
GOOD,GOOD,1,2,0,1,1,1,2,1,20,18,37,32,51%,49%,False
GOOD,GOOD,1,1,0,0,1,3,3,7,44,54,86,77,47%,53%,False
GOOD,GOOD,1,2,0,2,1,1,0,4,25,20,47,34,54%,46%,False
GOOD,GOOD,1,0,1,0,5,4,4,5,39,41,63,66,52%,48%,False
GOOD,GOOD,2,0,4,0,2,4,2,3,17,22,30,35,51%,49%,True
GOOD,GOOD,0,0,4,3,2,2,2,7,42,37,80,78,53%,47%,False
GOOD,GOOD,0,0,0,1,0,0,1,5,17,19,34,40,52%,48%,False
GOOD,GOOD,2,1,0,0,10,1,20,0,66,15,91,41,75%,25%,True
GOOD,GOOD,3,1,0,0,5,1,7,0,33,11,50,27,74%,26%,True
GOOD,GOOD,1,0,0,0,7,2,13,3,84,34,93,61,1,0,True
GOOD,GOOD,0,0,0,0,9,2,8,3,49,27,99,96,53%,47%,False
GOOD,GOOD,1,1,0,0,2,1,1,3,21,17,53,57,45%,55%,True
GOOD,GOOD,0,0,2,0,3,1,6,4,42,27,89,61,58%,42%,False
GOOD,GOOD,1,0,1,0,1,1,5,0,24,15,47,30,59%,41%,True
GOOD,GOOD,0,0,0,3,1,4,9,12,23,62,79,97,45%,55%,True
GOOD,GOOD,0,2,0,3,0,1,1,4,7,32,40,44,46%,54%,False
GOOD,GOOD,1,0,8,0,4,2,8,6,65,24,133,80,64%,36%,True
GOOD,GOOD,1,0,4,3,3,0,4,4,38,9,77,27,71%,29%,True
GOOD,GOOD,0,0,0,0,7,4,13,4,79,74,125,123,53%,47%,True
GOOD,GOOD,0,0,0,0,3,2,5,3,35,35,61,62,53%,47%,True
GOOD,GOOD,0,0,0,0,3,4,4,5,56,70,108,135,1,2,False
GOOD,GOOD,1,0,0,0,4,4,4,6,28,39,70,77,52%,48%,True
GOOD,GOOD,2,1,0,0,1,3,3,3,13,19,30,34,55%,45%,True
GOOD,GOOD,1,1,1,0,6,6,6,15,26,76,100,129,42%,58%,True
GOOD,GOOD,2,1,3,0,3,5,3,7,9,38,60,59,44%,56%,True
GOOD,GOOD,1,2,0,0,9,6,5,5,58,51,81,108,50%,50%,True
GOOD,GOOD,3,2,0,0,5,5,2,3,25,30,27,61,43%,57%,True
GOOD,GOOD,0,0,0,0,4,0,7,2,77,39,164,63,71%,29%,True
GOOD,GOOD,0,0,0,0,3,0,4,1,30,19,77,27,72%,28%,True
GOOD,GOOD,0,1,0,0,2,4,8,4,76,58,124,100,1,1,False
GOOD,GOOD,0,0,0,0,2,4,4,4,78,34,102,65,63%,37%,True
GOOD,GOOD,0,1,0,0,2,2,1,1,34,16,57,35,60%,40%,True
GOOD,GOOD,0,0,2,0,2,2,1,3,94,78,101,134,43%,57%,True
GOOD,GOOD,0,1,2,0,0,0,0,2,44,39,43,66,42%,58%,True
GOOD,GOOD,1,1,0,0,5,14,0,11,22,57,63,94,33%,67%,False
GOOD,GOOD,1,5,0,0,2,7,0,7,14,28,31,48,37%,63%,False
GOOD,GOOD,1,1,2,6,4,7,9,22,46,64,103,133,49%,51%,False
GOOD,GOOD,2,3,1,2,2,3,3,11,26,31,61,51,54%,46%,False
GOOD,GOOD,0,0,0,0,4,3,8,4,33,22,56,41,48%,52%,True
GOOD,GOOD,1,0,0,0,2,1,3,1,19,7,33,20,44%,56%,False
GOOD,GOOD,0,0,0,0,4,1,1,4,30,23,71,72,50%,50%,False
GOOD,GOOD,1,0,0,0,1,0,0,2,15,11,40,39,48%,52%,False
GOOD,GOOD,0,0,0,0,2,2,8,10,63,52,116,94,53%,47%,True
GOOD,GOOD,0,0,0,0,0,1,2,4,29,27,64,42,60%,40%,False
GOOD,GOOD,1,1,0,0,4,11,3,7,21,39,47,80,40%,60%,True
GOOD,GOOD,2,4,0,0,2,1,1,3,12,14,28,36,43%,57%,True
GOOD,GOOD,1,0,0,0,2,6,2,9,33,38,99,90,46%,54%,False
GOOD,GOOD,1,1,0,0,2,2,0,5,11,23,53,54,42%,58%,False
WETANDFAST,COLD,0,0,1,1,4,4,7,5,25,24,89,74,54%,46%,False
WETANDFAST,COLD,0,1,4,1,2,2,2,3,9,14,44,39,49%,51%,False
GOOD,GOOD,0,1,0,0,4,1,9,8,33,45,88,82,1,1,False
GOOD,GOOD,1,0,1,4,4,5,10,11,45,57,102,99,48%,52%,False
GOOD,GOOD,2,0,3,6,1,2,1,5,20,19,62,46,54%,46%,True
GOOD,GOOD,0,2,0,0,3,6,16,5,67,43,117,77,62%,38%,False
GOOD,GOOD,1,4,0,0,0,4,7,2,34,15,56,36,60%,40%,False
GOOD,GOOD,1,2,0,0,8,2,9,0,69,20,104,53,64%,36%,True
GOOD,GOOD,4,2,0,0,3,2,4,0,25,16,44,30,64%,36%,False
GOOD,GOOD,0,1,0,0,3,6,17,8,66,36,141,94,67%,33%,False
GOOD,GOOD,2,3,0,0,0,3,6,7,19,27,59,60,66%,34%,True
GOOD,GOOD,0,0,0,1,6,7,8,5,31,31,86,82,59%,41%,True
GOOD,GOOD,0,0,0,3,3,1,3,2,14,18,43,41,62%,38%,False
GOOD,GOOD,2,0,0,0,5,4,8,6,48,47,102,92,52%,48%,False
GOOD,GOOD,3,1,0,0,4,0,6,2,27,15,50,48,55%,45%,True
GOOD,GOOD,0,1,0,0,1,4,4,2,42,31,79,56,59%,41%,False
GOOD,GOOD,0,1,0,0,0,2,3,0,22,17,43,28,59%,41%,True
GOOD,GOOD,2,0,0,0,3,5,4,13,27,44,57,70,34%,66%,True
GOOD,GOOD,2,2,0,0,2,0,3,4,15,18,28,27,37%,63%,True
GOOD,GOOD,1,0,1,0,2,2,6,7,35,36,79,89,44%,56%,False
GOOD,GOOD,1,0,2,0,2,0,4,3,20,17,45,46,48%,52%,False
GOOD,GOOD,0,0,0,1,3,2,6,6,93,96,117,135,50%,50%,False
GOOD,GOOD,0,1,0,3,2,1,5,4,51,38,62,68,46%,54%,True
GOOD,GOOD,0,2,2,0,9,3,6,11,67,48,123,94,52%,48%,True
GOOD,GOOD,3,2,3,0,0,2,3,7,24,23,58,47,51%,49%,True
GOOD,GOOD,0,0,4,0,8,5,10,8,53,58,124,111,43%,57%,True
GOOD,GOOD,1,3,2,0,3,0,5,4,20,31,54,61,32%,68%,True
GOOD,GOOD,0,0,0,4,1,6,6,10,24,72,76,170,32%,68%,True
GOOD,GOOD,1,2,0,4,0,2,0,4,2,35,30,100,22%,78%,False
GOOD,GOOD,2,0,0,4,3,11,2,13,14,58,79,163,28%,72%,False
GOOD,GOOD,2,1,0,8,2,4,1,4,12,20,45,73,33%,67%,True
GOOD,GOOD,1,0,0,0,6,1,10,9,46,49,108,99,48%,52%,False
GOOD,GOOD,2,0,0,0,1,0,5,2,22,26,58,39,49%,51%,True
GOOD,GOOD,0,1,2,2,0,6,8,11,37,60,91,98,55%,45%,False
GOOD,GOOD,0,2,4,2,0,1,3,5,17,25,45,53,51%,49%,True
GOOD,GOOD,0,1,0,0,2,6,3,12,27,49,87,85,45%,55%,False
GOOD,GOOD,0,1,0,0,1,4,1,6,8,28,36,38,45%,55%,False
GOOD,GOOD,2,0,0,6,10,4,5,10,27,40,81,110,39%,61%,False
GOOD,GOOD,3,1,0,6,3,1,1,5,5,22,30,53,36%,64%,False
GOOD,GOOD,1,1,3,4,6,5,8,10,60,63,67,68,51%,49%,True
GOOD,GOOD,1,3,2,2,3,2,2,4,27,27,30,27,54%,46%,False
GOOD,GOOD,1,0,0,1,7,2,5,7,59,66,104,117,48%,52%,False
GOOD,GOOD,2,1,0,4,5,1,1,2,19,37,48,60,49%,51%,False
GOOD,GOOD,1,1,2,4,7,3,12,6,102,52,151,105,59%,41%,False
GOOD,GOOD,2,1,4,2,3,2,4,5,45,34,73,55,56%,44%,True
GOOD,GOOD,1,2,0,0,4,4,5,1,64,55,138,106,53%,47%,False
GOOD,GOOD,2,2,0,3,2,3,3,0,27,20,70,52,54%,46%,False
GOOD,GOOD,1,1,3,1,4,3,7,4,51,31,109,85,50%,50%,True
GOOD,GOOD,4,2,1,7,1,2,3,1,22,15,39,49,52%,48%,True
GOOD,GOOD,0,0,2,0,5,8,5,13,40,96,99,185,41%,59%,True
GOOD,GOOD,0,0,0,0,2,3,3,5,16,41,42,69,44%,56%,False
GOOD,GOOD,1,1,0,0,6,11,5,6,37,92,98,156,42%,58%,True
GOOD,GOOD,3,2,0,0,2,2,3,4,20,38,60,81,47%,53%,True
GOOD,GOOD,3,0,8,0,5,3,4,2,71,31,92,91,49%,51%,True
GOOD,GOOD,4,0,2,0,3,1,3,1,40,11,46,47,54%,46%,False
GOOD,GOOD,1,1,0,0,5,4,2,3,40,67,106,128,41%,59%,False
GOOD,GOOD,1,3,0,0,2,2,1,1,15,33,47,60,38%,62%,False
GOOD,GOOD,1,1,0,0,5,7,8,2,57,68,111,105,44%,56%,True
GOOD,GOOD,2,3,0,0,2,4,7,0,31,23,64,43,47%,53%,True
GOOD,GOOD,1,0,3,3,5,3,11,3,39,10,101,71,60%,40%,False
GOOD,GOOD,2,0,2,0,2,1,3,1,26,8,67,35,63%,37%,True
GOOD,GOOD,0,0,1,7,1,2,9,14,18,53,75,115,35%,65%,True
GOOD,GOOD,1,0,0,4,0,1,4,7,5,27,37,59,30%,70%,False
GOOD,GOOD,0,0,0,0,6,0,12,0,46,21,96,76,60%,40%,True
GOOD,GOOD,0,0,0,1,5,0,8,0,27,11,51,37,60%,40%,False
GOOD,GOOD,2,1,0,0,7,8,1,7,35,54,101,124,44%,56%,True
GOOD,GOOD,3,1,0,0,5,3,1,2,24,18,47,54,50%,50%,False
GOOD,GOOD,0,1,3,1,2,3,5,8,47,36,116,95,46%,54%,False
GOOD,GOOD,0,0,2,0,5,4,12,5,138,87,181,126,61%,39%,True
GOOD,GOOD,0,0,6,0,3,2,5,3,41,39,62,51,56%,44%,True
GOOD,GOOD,1,0,0,0,6,2,4,4,52,37,116,94,5,0,False
GOOD,GOOD,1,1,0,0,4,6,5,13,38,71,76,81,46%,54%,False
GOOD,GOOD,3,3,0,0,1,4,3,7,19,31,42,49,48%,52%,False
GOOD,GOOD,1,1,4,1,10,1,10,4,42,23,108,83,57%,43%,True
GOOD,GOOD,3,1,1,0,3,1,3,4,19,15,49,49,55%,45%,False
GOOD,GOOD,1,1,0,0,2,2,1,3,38,39,97,84,51%,49%,False
GOOD,GOOD,2,1,0,0,1,2,0,1,11,21,52,41,48%,52%,True
GOOD,GOOD,5,0,1,0,16,0,13,2,105,22,135,65,74%,26%,False
GOOD,GOOD,9,0,2,0,8,0,7,0,58,11,76,24,82%,18%,False
GOOD,GOOD,1,1,0,1,7,4,13,4,79,51,107,139,33%,67%,True
GOOD,GOOD,2,2,0,1,3,1,7,0,28,15,41,53,36%,64%,True
GOOD,GOOD,2,0,0,0,4,3,5,6,42,32,78,96,43%,57%,False
GOOD,GOOD,3,0,0,0,3,1,4,4,21,17,41,47,43%,57%,False
GOOD,GOOD,1,0,0,0,4,1,3,6,95,90,129,137,50%,50%,True
GOOD,GOOD,1,1,0,0,2,0,1,3,45,42,64,60,46%,54%,False
GOOD,GOOD,0,0,1,0,5,1,13,8,69,56,122,94,2,1,False
GOOD,GOOD,1,0,4,0,9,3,9,8,80,37,131,96,71%,29%,True
GOOD,GOOD,3,1,7,0,3,1,4,6,40,19,73,43,74%,26%,True
GOOD,GOOD,1,0,0,0,5,5,4,3,37,40,85,82,49%,51%,True
GOOD,GOOD,2,2,0,0,3,2,2,2,18,17,46,40,50%,50%,True
GOOD,GOOD,1,1,2,1,6,3,13,4,41,28,75,66,55%,45%,False
GOOD,GOOD,1,3,2,0,2,1,4,1,21,16,36,36,46%,54%,False
GOOD,GOOD,0,0,2,0,7,1,7,4,63,33,81,54,61%,39%,False
GOOD,GOOD,3,0,2,0,3,1,2,2,35,20,48,32,61%,39%,False
GOOD,GOOD,1,0,0,0,4,1,0,0,65,51,98,93,58%,42%,False
