pitch,weather,score_home,score_away,corners_home,corners_away,on_target_home,on_target_away,off_target_home,off_target_away,dang_attacks_home,dang_attacks_away,attacks_home,attacks_away,possession_home,possession_away,target
GOOD,GOOD,2,0,0,0,10,3,7,1,89,63,101,97,56%,44%,True
GOOD,GOOD,2,0,0,0,7,2,2,1,46,31,48,45,59%,41%,True
GOOD,GOOD,0,0,0,0,0,1,5,4,88,95,119,110,0,0,False
GOOD,GOOD,1,0,0,0,6,1,12,1,53,25,73,68,55%,45%,True
GOOD,GOOD,1,0,0,0,4,0,6,1,27,12,35,34,53%,47%,False
GOOD,GOOD,1,1,0,0,4,4,1,13,52,72,119,132,38%,62%,True
GOOD,GOOD,2,2,0,0,3,2,1,6,30,24,55,62,40%,60%,False
GOOD,GOOD,0,0,0,0,3,1,0,4,18,33,57,73,42%,58%,True
GOOD,GOOD,0,0,0,0,1,0,0,2,7,12,27,37,40%,60%,True
GOOD,GOOD,0,4,0,0,4,8,7,8,51,74,85,89,41%,59%,True
GOOD,GOOD,0,5,0,0,2,5,1,5,26,40,39,41,44%,56%,False
GOOD,GOOD,0,0,0,7,3,9,3,10,55,85,61,95,36%,64%,True
GOOD,GOOD,0,1,0,3,1,3,3,5,28,38,36,49,40%,60%,False
GOOD,GOOD,0,1,0,0,10,8,9,3,60,45,99,79,62%,38%,False
GOOD,GOOD,0,1,0,0,6,7,5,1,27,20,50,36,61%,39%,True
GOOD,GOOD,2,3,0,0,2,9,1,4,36,42,72,67,49%,51%,False
GOOD,GOOD,2,5,0,0,2,5,0,3,18,20,33,31,49%,51%,False
GOOD,GOOD,1,3,0,4,3,7,5,4,38,64,93,117,2,3,False
GOOD,GOOD,0,1,3,1,5,3,13,3,65,40,97,85,61%,39%,True
GOOD,GOOD,1,2,3,2,2,2,3,3,24,22,49,49,55%,45%,False
GOOD,GOOD,0,1,1,1,0,4,3,4,59,81,106,146,0,2,False
GOOD,GOOD,0,1,0,0,5,7,7,5,26,23,77,71,54%,46%,False
GOOD,GOOD,0,2,0,0,1,3,3,4,12,11,43,39,41%,59%,False
GOOD,GOOD,1,1,3,0,6,5,9,1,45,40,93,70,62%,38%,False
GOOD,GOOD,2,3,4,0,3,1,5,0,26,18,50,36,65%,35%,True
GOOD,GOOD,1,0,0,0,2,4,5,4,27,32,54,63,49%,51%,False
GOOD,GOOD,1,0,0,0,2,1,2,1,16,15,29,34,43%,57%,True
GOOD,GOOD,0,1,3,1,6,6,5,6,46,39,98,88,67%,33%,True
GOOD,GOOD,3,1,2,0,1,4,1,4,26,24,56,51,63%,37%,False
GOOD,GOOD,1,1,0,0,2,4,8,8,42,38,76,77,53%,47%,True
GOOD,GOOD,1,2,0,0,1,3,5,3,23,20,40,43,53%,47%,True
GOOD,GOOD,1,0,0,0,8,3,6,8,78,92,80,111,42%,58%,True
