time,league,pitch,weather,score_home,score_away,corners_home,corners_away,on_target_home,on_target_away,off_target_home,off_target_away,dang_attacks_home,dang_attacks_away,attacks_home,attacks_away,possession_home,possession_away,target
lh,Brazil Campeonato C...,GOOD,GOOD,2,3,1,2,1,2,7,1,18,15,54,42,61%,39%,False
fh,Romania Liga I,GOOD,GOOD,3,0,0,0,10,6,5,11,63,72,101,106,45%,55%,True
lh,Romania Liga I,GOOD,GOOD,3,2,0,0,7,1,1,6,27,31,50,55,46%,54%,True
fh,Belgium Reserve League,GOOD,GOOD,0,0,0,0,5,2,1,2,72,52,82,69,63%,37%,False
lh,Belgium Reserve League,GOOD,GOOD,0,1,0,0,1,1,1,2,36,26,36,39,59%,41%,False
fh,Belgium Reserve League,GOOD,GOOD,1,2,0,0,4,8,3,6,37,92,81,129,40%,60%,False
lh,Belgium Reserve League,GOOD,GOOD,1,4,0,0,3,3,2,4,16,57,39,70,37%,63%,False
fh,Belgium Reserve League,GOOD,GOOD,1,1,0,0,4,2,11,2,78,34,123,81,66%,34%,True
lh,Belgium Reserve League,GOOD,GOOD,3,1,0,0,2,1,4,1,38,16,56,39,63%,37%,True
fh,Belgium Reserve League,GOOD,GOOD,0,2,0,0,4,5,3,2,35,33,81,79,56%,44%,True
lh,Belgium Reserve League,GOOD,GOOD,1,4,0,0,2,2,1,1,16,14,44,38,54%,46%,False
fh,Belgium Reserve League,GOOD,GOOD,0,3,0,0,2,4,6,5,35,36,63,60,50%,50%,False
lh,Belgium Reserve League,GOOD,GOOD,0,3,0,0,0,3,4,3,12,20,23,35,44%,56%,False
fh,Brazil U20 League,GOOD,GOOD,0,1,0,0,1,3,9,7,40,41,113,98,44%,56%,False
lh,Brazil U20 League,GOOD,GOOD,0,2,0,0,0,1,6,4,18,27,48,47,41%,59%,False
fh,Albania Cup,GOOD,GOOD,0,0,0,0,2,6,9,5,57,44,126,117,53%,47%,True
lh,Albania Cup,GOOD,GOOD,0,1,0,0,0,3,3,1,24,19,72,60,52%,48%,False
fh,Belgium Reserve League,GOOD,GOOD,1,0,0,0,7,2,9,4,29,23,72,56,62%,38%,False
lh,Belgium Reserve League,GOOD,GOOD,2,0,0,0,6,2,3,1,16,9,39,24,69%,31%,True
fh,England Premier Lea...,GOOD,GOOD,1,1,0,0,2,5,7,6,56,51,48,35,56%,44%,True
lh,England Premier Lea...,GOOD,GOOD,1,2,0,0,1,3,3,3,26,31,19,20,54%,46%,True
fh,England Premier Lea...,GOOD,GOOD,3,0,0,0,8,1,3,6,39,44,50,52,39%,61%,False
lh,England Premier Lea...,GOOD,GOOD,4,0,0,0,5,0,2,1,20,19,27,27,38%,62%,False
fh,England Premier Lea...,GOOD,GOOD,0,1,0,0,3,6,6,4,78,80,117,97,64%,36%,False
lh,England Premier Lea...,GOOD,GOOD,0,1,0,0,1,3,3,2,28,47,54,52,60%,40%,True
fh,Belgium Reserve League,GOOD,GOOD,1,0,0,0,5,2,8,2,51,47,146,121,59%,41%,False
lh,Belgium Reserve League,GOOD,GOOD,2,0,0,0,1,1,6,0,22,25,68,60,55%,45%,True
fh,England Premier Lea...,GOOD,GOOD,1,0,0,0,6,5,5,5,34,62,73,111,32%,68%,False
lh,England Premier Lea...,GOOD,GOOD,1,0,0,0,2,4,0,4,17,27,38,56,31%,69%,True
fh,Holland Eerste Divisie,GOOD,GOOD,0,0,0,0,3,3,10,6,64,59,118,104,47%,53%,True
lh,Holland Eerste Divisie,GOOD,GOOD,1,0,0,0,2,1,6,3,31,32,56,55,45%,55%,True
fh,England Premier Lea...,GOOD,GOOD,0,0,0,0,2,4,0,6,20,40,53,85,47%,53%,False
lh,England Premier Lea...,GOOD,GOOD,0,1,0,0,2,0,0,2,14,12,28,43,49%,51%,True
fh,African Nations Cup...,GOOD,GOOD,1,0,4,0,6,7,13,6,54,15,144,46,63%,37%,True
lh,African Nations Cup...,GOOD,GOOD,2,1,2,1,1,3,6,1,21,7,69,26,57%,43%,True
fh,Costa Rica U20 League,GOOD,GOOD,1,1,0,0,1,4,1,0,56,44,111,108,53%,47%,True
lh,Costa Rica U20 League,GOOD,GOOD,1,1,0,0,1,1,1,0,32,25,56,49,51%,49%,True
fh,England Premier Lea...,GOOD,GOOD,0,0,0,0,3,5,10,7,44,60,50,83,34%,66%,True
lh,England Premier Lea...,GOOD,GOOD,0,1,0,0,0,2,4,5,12,40,23,53,26%,74%,True
fh,Belgium Reserve League,GOOD,GOOD,0,1,0,0,3,11,8,9,40,35,80,72,56%,44%,True
lh,Belgium Reserve League,GOOD,GOOD,1,1,0,0,0,5,4,4,14,18,35,39,50%,50%,True
fh,Belgium Reserve League,GOOD,GOOD,0,2,0,0,2,6,7,4,55,92,115,115,54%,46%,True
lh,Belgium Reserve League,GOOD,GOOD,0,4,0,0,1,2,2,3,15,65,41,70,46%,54%,False
fh,France Ligue 2,GOOD,GOOD,0,0,2,0,4,1,2,5,50,56,93,93,45%,55%,True
lh,France Ligue 2,GOOD,GOOD,2,0,0,0,1,0,1,3,32,19,49,48,44%,56%,False
fh,France National,GOOD,GOOD,0,0,1,0,0,0,5,5,60,57,111,107,40%,60%,True
lh,France National,GOOD,GOOD,0,0,1,2,0,0,4,3,30,27,59,44,43%,57%,True
fh,Northern Ireland Re...,GOOD,GOOD,1,1,0,0,9,13,8,3,56,45,107,82,55%,45%,True
lh,Northern Ireland Re...,GOOD,GOOD,5,2,0,0,4,7,8,2,32,18,56,37,60%,40%,False
fh,England Championship,GOOD,GOOD,0,0,3,4,3,0,10,9,27,50,66,123,32%,68%,True
lh,England Championship,GOOD,GOOD,1,0,3,3,2,0,8,1,21,17,44,48,35%,65%,False
fh,Northern League Div...,GOOD,GOOD,0,1,0,2,1,8,7,1,40,27,65,57,52%,48%,False
lh,Northern League Div...,GOOD,GOOD,0,5,0,2,1,2,6,0,25,13,35,32,49%,51%,False
fh,Northern Ireland Re...,GOOD,GOOD,0,0,0,0,4,4,8,2,39,29,97,87,63%,37%,False
lh,Northern Ireland Re...,GOOD,GOOD,0,1,0,0,1,0,3,1,18,14,49,46,60%,40%,True
fh,Northern Ireland Re...,GOOD,GOOD,0,1,0,0,5,7,1,7,70,68,112,119,44%,56%,True
lh,Northern Ireland Re...,GOOD,GOOD,0,4,0,0,3,2,0,3,36,34,55,49,48%,52%,False
fh,Colombia Primera B,GOOD,GOOD,0,1,1,1,2,1,4,6,31,14,93,87,58%,42%,False
lh,Colombia Primera B,GOOD,GOOD,0,1,2,0,2,1,3,5,15,12,48,50,50%,50%,True
fh,Northern Ireland Re...,GOOD,GOOD,0,0,0,0,4,3,4,4,42,47,113,115,60%,40%,True
lh,Northern Ireland Re...,GOOD,GOOD,1,0,0,0,2,1,3,4,27,15,55,51,64%,36%,False
fh,Spain Segunda,GOOD,GOOD,0,0,0,0,4,7,9,8,43,44,122,101,44%,56%,False
lh,Spain Segunda,GOOD,GOOD,1,2,0,0,1,1,4,4,24,15,60,46,49%,51%,False
fh,Italy Serie C Cup,GOOD,GOOD,0,0,2,2,1,3,2,6,57,71,107,126,52%,48%,False
lh,Italy Serie C Cup,GOOD,GOOD,0,0,5,2,1,1,0,3,26,38,45,71,45%,55%,True
fh,Spain Segunda,GOOD,GOOD,0,1,3,2,6,2,17,7,72,18,136,81,68%,32%,False
lh,Spain Segunda,GOOD,GOOD,0,2,9,0,3,1,8,6,35,13,63,42,66%,34%,False
fh,Portugal Segunda Liga,GOOD,GOOD,1,0,3,5,6,5,6,11,56,108,129,169,39%,61%,False
lh,Portugal Segunda Liga,GOOD,GOOD,1,1,1,5,4,1,3,3,36,45,69,81,44%,56%,True
fh,Jamaica Premier League,GOOD,GOOD,2,0,0,0,6,3,7,6,55,58,100,92,55%,45%,False
lh,Jamaica Premier League,GOOD,GOOD,3,0,0,0,5,0,4,2,25,27,53,48,59%,41%,True
fh,Argentina Torneo Re...,GOOD,GOOD,0,0,0,0,2,8,6,5,36,54,68,77,42%,58%,False
lh,Argentina Torneo Re...,GOOD,GOOD,1,1,0,0,0,2,2,4,13,24,27,33,40%,60%,False
fh,America Friendlies,GOOD,GOOD,0,0,0,3,2,2,1,4,41,69,85,100,48%,52%,True
lh,America Friendlies,GOOD,GOOD,1,0,0,3,0,2,0,0,21,32,36,47,58%,42%,True
fh,Mexico Liga MX Femenil,GOOD,GOOD,1,0,0,0,3,3,0,5,32,76,63,86,37%,63%,False
lh,Mexico Liga MX Femenil,GOOD,GOOD,1,0,0,0,2,1,0,1,17,32,29,44,31%,69%,False
fh,America Friendlies,GOOD,GOOD,0,1,1,0,3,2,7,8,62,49,110,136,45%,55%,True
lh,America Friendlies,GOOD,GOOD,0,1,5,0,1,1,4,2,21,27,46,71,38%,62%,True
fh,Colombia Primera B,GOOD,GOOD,0,1,0,0,5,3,4,6,44,34,86,64,43%,57%,False
lh,Colombia Primera B,GOOD,GOOD,1,2,0,0,1,1,0,5,23,16,48,33,50%,50%,True
fh,Mexico Liga MX Femenil,GOOD,GOOD,0,1,0,0,4,5,8,3,92,53,121,92,55%,45%,False
lh,Mexico Liga MX Femenil,GOOD,GOOD,0,2,0,0,3,3,2,1,36,32,54,49,52%,48%,True
fh,Mexico Liga MX Femenil,GOOD,GOOD,2,0,0,0,3,3,2,5,55,66,116,118,55%,45%,True
lh,Mexico Liga MX Femenil,GOOD,GOOD,2,0,0,0,2,3,0,1,25,30,56,69,52%,48%,True
fh,India Manipur State...,GOOD,GOOD,3,0,0,0,8,1,4,2,92,68,113,99,57%,43%,True
lh,India Manipur State...,GOOD,GOOD,6,0,0,1,4,0,3,0,47,31,54,45,59%,41%,False
fh,Cambodia Premier Le...,GOOD,GOOD,1,0,0,0,6,8,6,12,45,41,94,68,36%,64%,True
lh,Cambodia Premier Le...,GOOD,GOOD,2,1,0,0,3,4,2,4,20,20,48,32,34%,66%,False
fh,Algeria Womens League,GOOD,GOOD,0,2,0,0,2,9,5,12,29,70,62,79,46%,54%,True
lh,Algeria Womens League,GOOD,GOOD,0,6,0,0,1,4,2,4,10,41,32,45,47%,53%,False
fh,India Manipur State...,GOOD,GOOD,2,0,0,3,3,1,10,8,70,125,115,131,44%,56%,False
lh,India Manipur State...,GOOD,GOOD,2,0,0,11,2,0,3,5,34,54,59,60,50%,50%,True
fh,Australia A-League,GOOD,GOOD,1,1,0,0,9,5,6,15,55,47,136,104,48%,52%,True
lh,Australia A-League,GOOD,GOOD,2,2,0,0,5,2,2,10,22,24,64,63,45%,55%,True
fh,Algeria Youth League,GOOD,GOOD,0,1,0,0,8,1,9,3,87,39,85,90,65%,35%,True
lh,Algeria Youth League,GOOD,GOOD,0,1,0,0,5,1,5,1,42,18,38,45,62%,38%,True
fh,Poland I Liga,GOOD,GOOD,2,0,0,0,6,7,3,6,36,50,69,72,34%,66%,True
lh,Poland I Liga,GOOD,GOOD,2,2,0,0,5,5,1,1,18,26,39,39,27%,73%,False
fh,Europe Friendlies,GOOD,GOOD,1,1,0,2,1,8,6,5,84,73,112,112,46%,54%,True
lh,Europe Friendlies,GOOD,GOOD,1,1,0,2,1,8,2,4,41,41,54,64,42%,58%,True
fh,Iran Div 1,GOOD,SUNNY,0,0,0,0,1,0,2,3,63,41,102,85,55%,45%,False
lh,Iran Div 1,GOOD,SUNNY,0,0,0,0,0,0,1,1,32,19,56,46,61%,39%,True
fh,Iran Cup,GOOD,GOOD,1,0,0,0,7,0,6,3,52,39,78,72,56%,44%,True
lh,Iran Cup,GOOD,GOOD,2,0,0,0,2,0,3,1,22,15,39,32,58%,42%,True
fh,Algeria Youth League,GOOD,GOOD,0,0,0,0,5,3,13,4,93,55,137,122,56%,44%,True
lh,Algeria Youth League,GOOD,GOOD,1,0,0,0,0,1,8,1,51,22,65,58,55%,45%,False
fh,Israel Liga Bet South,GOOD,GOOD,1,0,0,0,5,4,5,4,38,29,70,77,39%,61%,True
lh,Israel Liga Bet South,GOOD,GOOD,2,0,0,0,2,0,1,2,18,12,38,40,47%,53%,True
fh,Europe Friendlies,GOOD,GOOD,0,3,4,0,2,5,4,5,25,44,20,32,39%,61%,False
lh,Europe Friendlies,GOOD,GOOD,0,5,1,0,1,3,2,2,16,21,12,13,46%,54%,False
fh,Europe Friendlies,GOOD,GOOD,1,0,0,0,2,1,0,2,44,51,80,73,52%,48%,True
lh,Europe Friendlies,GOOD,GOOD,2,1,0,0,1,0,0,0,24,21,46,34,54%,46%,False
fh,Kenya Premier League,GOOD,GOOD,0,0,0,0,4,4,9,7,125,95,120,104,54%,46%,True
lh,Kenya Premier League,GOOD,GOOD,0,0,0,0,4,2,4,2,64,50,64,54,53%,47%,False
fh,Saudi Arabia Divisi...,GOOD,GOOD,0,0,0,0,1,0,1,9,23,75,68,101,48%,52%,False
lh,Saudi Arabia Divisi...,GOOD,GOOD,1,0,0,0,0,0,0,4,10,43,31,54,43%,57%,True
fh,Israel Youth League,GOOD,GOOD,0,0,0,0,5,2,7,3,74,52,125,101,58%,42%,True
lh,Israel Youth League,GOOD,GOOD,0,0,0,0,1,1,4,2,37,29,66,52,59%,41%,True
fh,Israel Liga Bet South,GOOD,GOOD,1,0,0,0,4,2,9,1,93,66,135,109,64%,36%,True
lh,Israel Liga Bet South,GOOD,GOOD,4,2,0,0,1,0,5,0,43,22,51,38,70%,30%,True
fh,Israel Liga Bet North,GOOD,GOOD,0,3,0,0,3,8,12,5,24,52,53,90,33%,67%,False
lh,Israel Liga Bet North,GOOD,GOOD,0,5,0,0,1,4,7,3,14,31,31,51,30%,70%,False
fh,Saudi Arabia Divisi...,GOOD,GOOD,1,1,0,0,3,5,3,8,47,60,90,117,44%,56%,True
lh,Saudi Arabia Divisi...,GOOD,GOOD,1,1,0,0,2,3,2,4,22,25,44,54,49%,51%,False
fh,Brazil Campeonato P...,GOOD,GOOD,3,0,0,0,9,2,4,7,47,25,109,66,67%,33%,False
lh,Brazil Campeonato P...,GOOD,GOOD,4,0,0,0,3,1,2,4,19,14,55,32,65%,35%,False
fh,England U23 Develop...,GOOD,GOOD,0,0,0,0,3,8,1,9,31,71,72,92,53%,47%,True
lh,England U23 Develop...,GOOD,GOOD,2,0,0,0,0,3,0,5,16,31,42,49,57%,43%,True
fh,England Reserve Mat...,GOOD,GOOD,2,0,0,0,14,2,17,0,100,9,103,37,58%,42%,True
lh,England Reserve Mat...,GOOD,GOOD,7,0,0,0,6,0,11,0,61,4,54,13,64%,36%,False
fh,England U23 Develop...,GOOD,GOOD,1,0,0,0,13,2,2,5,59,48,80,86,41%,59%,True
lh,England U23 Develop...,GOOD,GOOD,1,1,0,0,8,1,1,3,33,27,40,44,39%,61%,False
fh,Europe Friendlies,GOOD,GOOD,3,0,0,0,10,4,5,3,76,32,102,90,54%,46%,True
lh,Europe Friendlies,GOOD,GOOD,8,1,0,0,4,2,0,2,36,13,60,43,58%,42%,False
fh,England U23 Develop...,GOOD,GOOD,0,1,0,0,4,3,5,2,42,24,91,74,48%,52%,True
lh,England U23 Develop...,GOOD,GOOD,1,1,0,0,0,2,0,1,18,14,42,33,45%,55%,False
fh,Algeria Division 1,GOOD,GOOD,0,0,0,0,8,4,4,0,88,51,95,88,60%,40%,True
lh,Algeria Division 1,GOOD,GOOD,2,1,0,0,3,2,3,0,46,20,51,38,69%,31%,False
fh,England U23 Premier...,GOOD,GOOD,0,0,0,0,6,2,7,4,76,37,132,83,66%,34%,False
lh,England U23 Premier...,GOOD,GOOD,1,0,0,0,1,2,3,2,29,19,61,48,60%,40%,True
fh,International Match,GOOD,GOOD,0,0,6,0,4,1,12,1,63,19,107,61,62%,38%,False
lh,International Match,GOOD,GOOD,2,0,4,0,0,0,3,0,42,7,54,31,63%,37%,True
fh,Austria 2. Liga,GOOD,GOOD,0,1,0,0,7,3,2,5,37,42,75,81,52%,48%,True
lh,Austria 2. Liga,GOOD,GOOD,2,1,0,0,1,3,1,2,16,21,31,41,48%,52%,True
fh,Gambia GFA League,GOOD,GOOD,1,0,0,0,6,6,11,17,34,57,91,109,52%,48%,True
lh,Gambia GFA League,GOOD,GOOD,2,0,0,0,4,5,5,3,13,27,43,54,43%,57%,False
fh,Gambia Division 2,GOOD,GOOD,0,1,0,0,4,2,4,6,53,60,79,97,48%,52%,False
lh,Gambia Division 2,GOOD,GOOD,2,1,0,0,2,2,1,5,21,31,39,43,53%,47%,False
fh,Algeria Division 1,GOOD,GOOD,1,1,0,0,9,6,22,4,95,44,134,106,63%,37%,True
lh,Algeria Division 1,GOOD,GOOD,1,1,0,0,5,2,13,1,49,17,58,53,62%,38%,True
fh,Kuwait League,GOOD,GOOD,0,0,0,0,5,1,4,4,62,39,79,80,48%,52%,True
lh,Kuwait League,GOOD,GOOD,4,1,0,0,0,0,1,0,23,6,26,25,47%,53%,True
fh,Europe Friendlies,GOOD,GOOD,1,2,0,0,4,7,5,4,45,48,121,97,58%,42%,False
lh,Europe Friendlies,GOOD,GOOD,1,4,0,0,1,5,2,2,16,31,60,55,52%,48%,False
fh,Belgium First Divis...,GOOD,GOOD,1,0,3,3,3,2,12,6,39,35,122,116,59%,41%,True
lh,Belgium First Divis...,GOOD,GOOD,1,1,5,2,1,0,8,4,13,15,43,50,56%,44%,False
fh,Cyprus Division 1,GOOD,GOOD,0,0,0,0,1,2,8,1,42,26,73,58,63%,37%,True
lh,Cyprus Division 1,GOOD,GOOD,1,0,0,0,0,1,3,1,20,11,39,30,58%,42%,False
fh,Spain Women Primera,GOOD,GOOD,0,0,0,0,2,10,3,8,18,45,47,87,30%,70%,False
lh,Spain Women Primera,GOOD,GOOD,0,2,0,0,2,5,1,6,10,21,20,45,28%,72%,False
fh,Africa Cup of Nations,GOOD,GOOD,0,0,0,4,8,5,5,15,72,45,143,112,53%,47%,True
lh,Africa Cup of Nations,GOOD,GOOD,0,0,0,1,3,3,4,4,32,14,55,40,47%,53%,True
fh,Europe Friendlies,GOOD,GOOD,3,1,0,0,6,8,2,4,64,67,94,100,51%,49%,True
lh,Europe Friendlies,GOOD,GOOD,4,3,0,0,5,2,1,1,42,22,45,44,56%,44%,False
fh,Gambia Division 2,GOOD,GOOD,1,1,0,0,17,16,15,11,78,65,106,109,51%,49%,False
lh,Gambia Division 2,GOOD,GOOD,3,2,0,0,13,8,8,6,48,31,56,61,54%,46%,True
fh,Gambia Division 2,GOOD,GOOD,0,1,0,0,3,4,5,8,53,49,76,73,46%,54%,True
lh,Gambia Division 2,GOOD,GOOD,0,1,0,0,1,3,2,3,27,24,39,39,49%,51%,False
fh,Europe Friendlies,GOOD,GOOD,1,0,0,0,9,4,5,3,40,54,84,113,37%,63%,True
lh,Europe Friendlies,GOOD,GOOD,2,0,0,0,2,4,1,1,11,25,28,51,36%,64%,False
fh,Europe Friendlies,GOOD,GOOD,2,1,0,0,14,4,11,5,70,33,97,74,61%,39%,False
lh,Europe Friendlies,GOOD,GOOD,7,2,0,0,6,1,7,1,38,16,50,36,66%,34%,False
fh,El Salvador Reserve...,GOOD,GOOD,1,2,0,0,9,6,15,3,89,45,103,85,57%,43%,False
lh,El Salvador Reserve...,GOOD,GOOD,3,4,0,0,5,4,5,1,36,27,50,39,58%,42%,True
fh,Spain Copa De La Reina,GOOD,GOOD,1,0,0,0,6,2,6,7,34,45,73,99,43%,57%,True
lh,Spain Copa De La Reina,GOOD,GOOD,2,0,0,0,2,1,2,2,18,16,34,41,45%,55%,True
fh,France National 2,GOOD,GOOD,1,0,0,0,8,6,3,3,36,32,66,61,49%,51%,False
lh,France National 2,GOOD,GOOD,2,2,0,0,1,1,1,1,15,14,34,30,53%,47%,False
fh,Spain Copa De La Reina,GOOD,GOOD,1,0,0,0,7,4,5,5,46,26,59,47,52%,48%,False
lh,Spain Copa De La Reina,GOOD,GOOD,3,1,0,0,2,3,4,0,21,8,28,21,56%,44%,False
fh,Costa Rica U20 League,GOOD,GOOD,0,0,0,0,3,3,3,8,32,56,83,83,53%,47%,True
lh,Costa Rica U20 League,GOOD,GOOD,1,0,0,0,2,1,1,5,18,29,36,37,59%,41%,False
fh,Belgium First Divis...,GOOD,GOOD,0,1,7,0,0,4,17,10,64,19,130,80,63%,37%,True
lh,Belgium First Divis...,GOOD,GOOD,0,2,4,0,0,2,7,6,23,10,55,48,58%,42%,False
fh,Belgium First Divis...,GOOD,GOOD,1,1,2,0,3,4,8,7,37,43,102,94,46%,54%,False
lh,Belgium First Divis...,GOOD,GOOD,1,1,4,0,2,2,3,3,12,18,45,43,42%,58%,False
fh,Spain Tercera Group 10,GOOD,GOOD,2,1,0,0,6,4,5,3,76,66,131,115,58%,42%,False
lh,Spain Tercera Group 10,GOOD,GOOD,3,1,0,0,4,3,2,1,36,32,66,51,61%,39%,False
fh,Spain Primera Divis...,GOOD,GOOD,1,0,0,0,2,1,4,8,47,66,106,97,52%,48%,True
lh,Spain Primera Divis...,GOOD,GOOD,1,0,0,0,2,0,1,6,24,29,57,49,60%,40%,True
fh,France Ligue 2,GOOD,GOOD,0,1,0,0,3,5,6,4,55,44,71,67,45%,55%,False
lh,France Ligue 2,GOOD,GOOD,1,1,0,2,1,3,2,3,13,26,33,38,36%,64%,False
fh,France Ligue 1,GOOD,GOOD,0,1,1,0,3,6,4,3,52,34,121,157,53%,47%,False
lh,France Ligue 1,GOOD,GOOD,0,1,2,0,1,4,2,3,14,25,32,93,44%,56%,False
fh,Campeonato Paulista A2,GOOD,GOOD,1,0,0,0,2,4,11,7,75,53,122,124,51%,49%,False
lh,Campeonato Paulista A2,GOOD,GOOD,1,0,0,0,1,3,4,2,38,21,61,66,52%,48%,True
fh,Spain Primera Divis...,GOOD,GOOD,2,0,0,0,6,4,8,4,51,45,81,76,52%,48%,False
lh,Spain Primera Divis...,GOOD,GOOD,3,1,0,0,3,1,5,1,18,24,38,41,46%,54%,False
fh,Spain Primera Divis...,GOOD,GOOD,1,0,0,0,5,1,10,4,60,32,93,85,45%,55%,False
lh,Spain Primera Divis...,GOOD,GOOD,2,0,0,0,2,0,5,2,28,13,46,44,42%,58%,True
fh,Spain Primera Divis...,GOOD,GOOD,3,1,0,0,3,5,8,5,33,29,83,63,62%,38%,False
lh,Spain Primera Divis...,GOOD,GOOD,3,2,0,0,3,1,3,4,20,14,43,33,59%,41%,False
fh,Germany 3.Liga,GOOD,GOOD,0,1,0,0,1,7,6,10,52,89,83,85,43%,57%,True
lh,Germany 3.Liga,GOOD,GOOD,0,1,0,0,1,3,3,5,19,49,37,38,34%,66%,True
fh,Malta Premier League,GOOD,GOOD,0,0,0,4,2,1,7,9,54,52,94,101,46%,54%,False
lh,Malta Premier League,GOOD,GOOD,0,0,0,3,1,1,3,6,29,25,43,57,44%,56%,True
fh,Campeonato Paulista A2,GOOD,GOOD,0,0,0,0,1,5,10,5,62,49,90,68,56%,44%,True
lh,Campeonato Paulista A2,GOOD,GOOD,0,2,0,0,1,3,3,4,22,31,23,37,42%,58%,False
fh,Germany 3.Liga,GOOD,GOOD,1,0,4,0,4,6,6,13,49,112,77,112,40%,60%,True
lh,Germany 3.Liga,GOOD,GOOD,1,0,0,0,2,3,4,4,26,45,36,44,46%,54%,False
fh,Germany 3.Liga,GOOD,GOOD,0,0,3,0,6,1,7,9,53,64,98,100,43%,57%,False
lh,Germany 3.Liga,GOOD,GOOD,2,0,1,0,3,0,3,3,33,27,53,45,41%,59%,False
fh,Campeonato Paulista A2,GOOD,GOOD,0,1,0,0,2,2,7,3,66,23,99,64,61%,39%,True
lh,Campeonato Paulista A2,GOOD,GOOD,0,1,0,0,1,1,2,0,26,11,53,35,55%,45%,False
fh,Malta Premier League,GOOD,GOOD,1,0,0,0,1,3,3,6,41,88,96,118,41%,59%,True
lh,Malta Premier League,GOOD,GOOD,1,0,0,0,1,1,2,1,22,35,53,55,48%,52%,True
fh,Campeonato Potiguar,GOOD,GOOD,0,0,0,0,1,5,6,7,46,88,91,130,37%,63%,False
lh,Campeonato Potiguar,GOOD,GOOD,0,0,0,0,1,3,2,5,18,45,40,70,38%,62%,True
fh,Germany 3.Liga,GOOD,GOOD,0,0,2,0,3,4,10,2,81,60,114,96,60%,40%,False
lh,Germany 3.Liga,GOOD,GOOD,0,1,6,0,1,1,4,1,32,34,64,46,66%,34%,False
fh,Greece Super League,GOOD,GOOD,0,0,1,0,3,6,3,11,78,109,147,189,37%,63%,False
lh,Greece Super League,GOOD,GOOD,0,0,0,0,2,1,1,4,28,37,53,75,35%,65%,False
fh,El Salvador Reserve...,GOOD,GOOD,0,0,0,0,3,6,2,5,59,86,81,100,45%,55%,True
lh,El Salvador Reserve...,GOOD,GOOD,1,2,0,0,0,3,0,3,24,46,44,50,44%,56%,True
fh,Germany Oberliga Ha...,GOOD,GOOD,0,3,0,0,2,7,3,7,49,53,54,66,52%,48%,False
lh,Germany Oberliga Ha...,GOOD,GOOD,2,5,0,0,0,4,1,3,21,23,22,27,52%,48%,False
fh,Campeonato Brasiliense,GOOD,GOOD,1,2,0,0,4,5,5,9,110,79,123,93,63%,37%,True
lh,Campeonato Brasiliense,GOOD,GOOD,2,2,0,0,1,2,2,4,57,31,64,35,69%,31%,False
fh,Campeonato Brasiliense,GOOD,GOOD,1,2,0,1,4,6,6,6,47,38,70,67,52%,48%,True
fh,Spain Copa De La Reina,GOOD,GOOD,0,2,0,0,1,8,1,10,9,48,43,122,34%,66%,True
lh,Spain Copa De La Reina,GOOD,GOOD,0,5,0,0,1,5,0,3,7,21,24,58,35%,65%,False
fh,Campeonato Brasiliense,GOOD,GOOD,1,1,0,0,2,3,4,5,33,64,77,92,43%,57%,True
lh,Campeonato Brasiliense,GOOD,GOOD,2,1,0,0,1,2,1,0,10,17,15,25,46%,54%,True
fh,Campeonato Carioca B,GOOD,GOOD,0,0,0,0,5,2,5,7,60,73,123,144,42%,58%,True
lh,Campeonato Carioca B,GOOD,GOOD,0,0,0,0,1,0,2,2,25,34,63,74,45%,55%,True
fh,El Salvador Reserve...,GOOD,GOOD,1,0,0,0,3,5,5,7,79,108,117,137,51%,49%,True
lh,El Salvador Reserve...,GOOD,GOOD,2,0,0,0,1,2,4,4,31,53,56,75,53%,47%,True
fh,Germany Berlin-Liga,GOOD,GOOD,0,0,0,0,6,3,9,2,70,55,113,92,60%,40%,False
lh,Germany Berlin-Liga,GOOD,GOOD,1,1,0,1,2,1,2,0,28,31,53,48,60%,40%,False
fh,Spain Segunda B Gro...,GOOD,GOOD,0,1,4,0,2,5,2,4,45,45,80,80,49%,51%,True
lh,Spain Segunda B Gro...,GOOD,GOOD,0,1,0,0,1,2,1,3,20,15,34,30,47%,53%,False
fh,Gambia GFA League,GOOD,GOOD,1,0,0,0,4,2,9,8,48,53,89,93,57%,43%,True
lh,Gambia GFA League,GOOD,GOOD,3,0,0,0,2,1,3,4,25,24,40,45,56%,44%,False
fh,Spain Tercera Group 10,GOOD,GOOD,0,0,0,0,4,1,2,2,43,30,92,79,48%,52%,True
lh,Spain Tercera Group 10,GOOD,GOOD,1,0,0,0,2,0,2,1,23,15,55,43,53%,47%,True
fh,Spain Segunda B Gro...,GOOD,GOOD,1,2,0,2,13,5,15,7,53,25,76,65,63%,37%,True
lh,Spain Segunda B Gro...,GOOD,GOOD,2,2,0,2,5,4,4,5,22,20,36,33,55%,45%,False
fh,Spain Copa De La Reina,GOOD,GOOD,0,1,0,0,6,2,5,0,55,39,89,77,48%,52%,False
lh,Spain Copa De La Reina,GOOD,GOOD,0,1,0,0,5,2,2,0,23,19,42,37,44%,56%,False
fh,Spain Women Superliga,GOOD,GOOD,0,2,0,0,4,6,3,4,30,38,84,78,51%,49%,True
lh,Spain Women Superliga,GOOD,GOOD,1,4,0,0,1,3,1,3,10,21,39,42,45%,55%,True
fh,Iceland Premier League,GOOD,GOOD,2,0,0,0,6,8,8,5,57,35,69,44,63%,37%,False
